row,col,raw,plateid,query,array,normalized,score,supp
12,7,1581,1,1,54,530.274,0.039,-
12,8,1588,1,1,54,541.23,0.06,-
12,9,1547,1,1,70,528.465,-0.035,-
12,10,1441,1,1,70,494.562,-0.102,-
12,11,1277,1,1,86,443.697,-0.002,-
12,12,1168,1,1,86,408.071,-0.072,-
12,13,1254,1,1,102,437.773,-0.007,-
12,14,1283,1,1,102,443.61,0.005,-
12,15,883,1,1,118,297.108,0.089,-
12,16,918,1,1,118,307.618,0.11,-
12,17,1565,1,1,134,538.475,-0.025,-
12,18,1482,1,1,134,NA,NA,-
12,19,1325,1,1,150,455.368,-0.073,-
12,20,1526,1,1,150,527.362,0.068,-
12,21,1810,1,1,166,619.152,0.108,-
12,22,1654,1,1,166,553.955,-0.02,-
12,23,1715,1,1,182,576.225,0.123,-
12,24,1586,1,1,182,523.068,0.019,-
12,25,1273,1,1,198,397.13,0.04,-
12,26,1293,1,1,198,395.401,0.036,-
12,27,1154,1,1,214,343.582,-0.064,-
12,28,1115,1,1,214,325.076,-0.1,-
12,29,1737,1,1,230,546.909,-0.03,-
12,30,1689,1,1,230,527.675,-0.068,-
12,31,1661,1,1,246,520.639,0.06,-
12,32,1695,1,1,246,534.901,0.088,-
12,33,1665,1,1,262,526.443,-0.061,-
12,34,1611,1,1,262,515.241,-0.083,-
12,35,1542,1,1,278,505.859,0.017,-
12,36,1498,1,1,278,505.884,0.017,-
12,37,1528,1,1,294,535.145,0.02,-
12,38,1580,1,1,294,569.601,0.087,-
12,39,1468,1,1,310,535.338,-0.006,-
12,40,1404,1,1,310,511.848,-0.052,-
12,41,1384,1,1,326,504.214,-0.012,-
12,42,1269,1,1,326,461.067,-0.096,-
12,43,1462,1,1,342,535.464,0.03,-
12,44,1392,1,1,342,502.105,-0.036,-
12,45,1517,1,1,358,524.972,0.093,-
12,46,1569,1,1,358,503.769,0.052,-
12,47,1855,1,1,374,NA,NA,-
12,48,1791,1,1,374,NA,NA,-
13,1,2413,1,1,7,NA,NA,-
13,2,1924,1,1,7,NA,NA,-
13,3,1115,1,1,23,323.278,-0.077,-
13,4,1116,1,1,23,342.617,-0.04,-
13,5,1578,1,1,39,511.031,-0.001,-
13,6,1563,1,1,39,511.825,0.001,-
13,7,1509,1,1,55,507.004,-0.026,-
13,8,1544,1,1,55,528.465,0.016,-
13,9,1655,1,1,71,571.874,0.127,-
13,10,1501,1,1,71,520.181,0.026,-
13,11,1432,1,1,87,505.505,0.013,-
13,12,1528,1,1,87,547.578,0.095,-
13,13,1560,1,1,103,555.658,-0.002,-
13,14,1529,1,1,103,537.847,-0.037,-
13,15,1428,1,1,119,501.458,-0.02,-
13,16,1332,1,1,119,463.918,-0.094,-
13,17,1121,1,1,135,382.212,-0.17,-
13,18,1194,1,1,135,407.879,-0.12,-
13,19,1377,1,1,151,480.811,-0.071,-
13,20,1398,1,1,151,486.142,-0.06,-
13,21,742,1,1,167,234.747,-0.304,-
13,22,702,1,1,167,213.968,-0.345,-
13,23,1640,1,1,183,554.925,0.014,-
13,24,1489,1,1,183,493.419,-0.107,-
13,25,1520,1,1,199,492.334,-0.091,-
13,26,1623,1,1,199,519.044,-0.039,-
13,27,1693,1,1,215,543.544,0.002,-
13,28,1726,1,1,215,550.47,0.016,-
13,29,1701,1,1,231,536.372,-0.011,-
13,30,1646,1,1,231,514.274,-0.054,-
13,31,1702,1,1,247,537.778,-0.062,-
13,32,1752,1,1,247,557.702,-0.023,-
13,33,1354,1,1,263,416.903,-0.029,-
