#row  column  size-1  size-2  circ-1  circ-2  MedInt-1  MedInt-2
13 14 166 158 0.917 0.937 243 241
13 15 0 143 0.0 0.893 0 239
13 16 165 186 0.921 0.956 241 242
13 17 0 0 0.0 0.0 0 0
13 18 159 163 0.91 0.966 239 243
13 19 167 143 0.932 0.952 241 239
13 20 181 210 0.952 0.935 239 243
13 21 148 182 0.934 0.958 239 243
13 22 0 169 0.0 0.967 0 242
13 23 142 166 0.945 0.974 238 237
13 24 170 149 0.997 0.965 236 228
14 1 104 192 0.974 0.894 233 243
14 2 0 0 0.0 0.0 0 0
14 3 203 188 0.946 0.934 247 247
14 4 185 161 0.919 0.898 247 242
14 5 42 0 -1.0 0.0 229 0
14 6 0 0 0.0 0.0 0 0
14 7 183 0 0.931 0.0 241 0
14 8 135 103 0.949 0.965 239 238
14 9 169 175 0.911 0.953 242 241
14 10 15 175 -1.0 0.953 208 238
14 11 50 175 0.962 0.943 229 239
14 12 183 192 0.931 0.883 240 241
14 13 158 157 0.961 0.921 241 241
14 14 0 0 0.0 0.0 0 0
14 15 0 76 0.0 0.98 0 233
14 16 63 0 0.943 0.0 229 0
14 17 0 176 0.0 0.926 0 239
14 18 0 0 0.0 0.0 0 0
14 19 0 130 0.0 0.951 0 237
14 20 12 0 -1.0 0.0 198 0
14 21 182 137 0.935 0.937 241 238
14 22 83 163 0.946 0.942 232 237
14 23 158 158 0.927 0.843 239 230
14 24 0 147 0.0 0.894 0 230
15 1 96 107 0.941 0.864 231 234
15 2 188 0 0.934 0.0 237 0
15 3 29 177 0.953 0.954 221 241
15 4 16 69 0.927 0.993 203 234
15 5 188 170 0.934 0.916 245 241
15 6 184 165 0.945 0.921 241 238
15 7 178 155 0.906 0.943 241 239
15 8 137 165 0.947 0.889 241 239
15 9 147 158 0.918 0.927 239 238
15 10 0 10 0.0 -1.0 0 195
15 11 181 0 0.93 0.0 239 0
15 12 141 0 0.964 0.0 239 0
15 13 122 172 0.968 0.95 236 239
15 14 109 162 0.918 0.927 236 236
15 15 175 165 0.921 0.934 238 239
15 16 154 126 0.961 0.932 239 237
15 17 129 130 0.982 0.962 239 235
15 18 145 154 0.965 0.937 236 234
15 19 149 155 0.93 0.943 238 239
15 20 0 0 0.0 0.0 0 0
15 21 169 167 0.943 0.909 237 238
15 22 51 53 0.981 -1.0 221 220
15 23 155 133 0.909 0.885 235 219
15 24 154 73 0.937 0.862 229 213
16 1 160 330 0.906 0.856 226 232
16 2 184 295 0.914 0.89 235 238
16 3 183 405 0.909 0.896 243 237
16 4 147 258 0.928 0.868 232 241
16 5 162 220 0.927 0.873 240 235
16 6 180 270 0.947 0.908 236 235
16 7 149 289 0.93 0.912 235 238
16 8 0 329 0.0 0.88 0 235
16 9 158 265 0.904 0.909 233 236
16 10 113 219 0.952 0.813 232 232
16 11 148 210 0.959 0.924 235 228
16 12 149 200 0.965 0.899 234 230
16 13 152 253 0.882 0.868 232 222
16 14 160 178 0.939 0.837 230 229
16 15 146 301 0.982 0.892 236 235
16 16 104 109 0.944 0.918 230 229
16 17 175 232 0.921 0.92 236 231
16 18 154 242 0.881 0.877 235 231
16 19 120 254 0.941 0.896 232 229
16 20 159 237 0.933 0.921 235 234
16 21 0 247 0.0 0.888 0 231
16 22 165 136 0.921 0.751 237 214
16 23 157 182 0.898 0.856 227 212
16 24 125 197 0.914 0.859 224 221
