#row  column  size-1  circ-1  MedInt-1
23 47 181 0.952 227
23 48 254 0.932 234
24 1 222 0.808 234
24 2 218 0.95 238
24 3 156 0.949 237
24 4 179 0.942 240
24 5 177 0.922 243
24 6 178 0.937 241
24 7 179 0.89 245
24 8 172 0.927 242
24 9 152 0.869 240
24 10 150 0.889 242
24 11 157 0.931 240
24 12 158 0.927 241
24 13 144 0.923 233
24 14 155 0.967 237
24 15 153 0.931 238
24 16 163 0.932 234
24 17 163 0.956 241
24 18 154 0.927 242
24 19 167 0.9 238
24 20 157 0.921 239
24 21 166 0.917 237
24 22 195 0.917 241
24 23 116 0.936 233
24 24 166 0.895 239
24 25 15 0.694 186
24 26 28 -1.0 219
24 27 176 0.949 236
24 28 138 0.944 231
24 29 159 0.9 231
24 30 151 0.918 231
24 31 163 0.966 229
24 32 156 0.892 229
24 33 176 0.949 235
24 34 174 0.938 234
24 35 175 0.921 232
24 36 172 0.927 233
24 37 179 0.942 236
24 38 164 0.884 234
24 39 174 0.938 235
24 40 169 0.889 238
24 41 164 0.884 233
24 42 170 0.916 236
24 43 137 0.963 231
24 44 132 0.965 228
24 45 173 0.932 236
24 46 188 0.892 236
24 47 191 0.972 228
24 48 238 0.866 230
25 1 215 0.838 240
25 2 212 0.924 241
25 3 160 0.862 236
25 4 131 0.872 233
25 5 154 0.881 236
