#row  column  size-1  circ-1  MedInt-1
17 25 140 0.897 239
17 26 159 0.967 240
17 27 133 0.935 235
17 28 160 0.948 237
17 29 152 0.915 236
17 30 164 0.948 237
17 31 161 0.954 232
17 32 173 0.932 232
17 33 126 0.959 229
17 34 133 0.946 229
17 35 167 0.922 236
17 36 162 0.96 235
17 37 142 0.91 231
17 38 144 0.943 234
17 39 157 0.931 239
17 40 140 0.932 236
17 41 144 0.923 235
17 42 126 0.948 237
17 43 138 0.944 236
17 44 142 0.864 238
17 45 147 0.894 233
17 46 152 0.915 235
17 47 180 0.895 237
17 48 167 0.913 234
18 1 262 0.942 237
18 2 195 0.888 238
18 3 188 0.896 237
18 4 184 0.945 241
18 5 180 0.925 245
18 6 175 0.912 245
18 7 195 0.917 244
18 8 175 0.921 243
18 9 79 0.913 231
18 10 85 0.949 231
18 11 166 0.926 242
18 12 136 0.93 241
18 13 152 0.915 241
18 14 149 0.94 238
18 15 163 0.91 240
18 16 155 0.967 240
18 17 80 0.88 230
18 18 75 0.872 232
18 19 119 0.87 240
18 20 129 0.943 239
18 21 112 0.943 235
18 22 106 0.92 235
18 23 140 0.907 241
18 24 144 0.899 240
18 25 123 0.899 234
18 26 142 0.982 238
18 27 152 0.924 235
18 28 157 0.931 236
18 29 162 0.936 236
18 30 165 0.944 234
18 31 169 0.967 235
18 32 178 0.906 235
18 33 129 0.917 227
18 34 133 0.957 228
18 35 164 0.915 235
18 36 154 0.903 236
18 37 160 0.948 237
18 38 149 0.93 236
18 39 162 0.895 239
18 40 144 0.933 234
18 41 114 0.96 231
18 42 139 0.901 236
18 43 153 0.921 239
18 44 145 0.905 236
18 45 156 0.939 239
18 46 168 0.827 237
18 47 175 0.89 236
18 48 199 0.831 235
19 1 247 0.899 240
19 2 205 0.913 238
19 3 172 0.905 238
19 4 150 0.972 239
19 5 193 0.928 243
19 6 192 0.903 245
19 7 19 -1.0 204
19 8 19 -1.0 204
19 9 157 0.945 236
19 10 144 0.958 236
19 11 164 0.928 243
19 12 158 0.904 241
19 13 158 0.927 236
19 14 130 0.903 239
19 15 168 0.937 239
19 16 160 0.915 240
19 17 152 0.974 241
19 18 145 0.939 239
19 19 147 0.894 239
19 20 140 0.874 244
19 21 122 0.867 237
19 22 140 0.907 240
19 23 125 0.914 236
19 24 165 0.944 239
19 25 171 0.931 240
19 26 156 0.939 234
19 27 167 0.955 237
19 28 161 0.898 233
19 29 160 0.948 232
19 30 172 0.927 236
19 31 138 0.918 230
19 32 139 0.935 229
19 33 174 0.925 233
19 34 159 0.933 235
19 35 162 0.844 235
19 36 163 0.91 234
19 37 108 0.938 227
19 38 102 0.926 227
19 39 160 0.915 237
19 40 150 0.88 236
19 41 153 0.907 236
19 42 151 0.918 237
19 43 142 0.945 237
19 44 147 0.952 235
19 45 160 0.929 236
19 46 162 0.904 236
19 47 177 0.901 233
19 48 211 0.892 235
20 1 258 0.902 240
20 2 166 0.817 237
20 3 171 0.931 240
20 4 152 0.911 238
20 5 190 0.882 240
20 6 197 0.878 244
20 7 19 -1.0 199
20 8 21 -1.0 193
20 9 146 0.946 236
20 10 130 0.889 236
20 11 142 0.945 240
20 12 168 0.928 243
20 13 153 0.931 243
20 14 158 0.927 237
20 15 153 0.884 239
20 16 137 0.878 234
20 17 142 0.945 238
20 18 150 0.946 238
20 19 143 0.86 238
20 20 149 0.906 243
20 21 140 0.932 242
20 22 146 0.936 242
20 23 124 0.882 237
20 24 146 0.856 241
20 25 152 0.949 237
20 26 151 0.928 237
20 27 161 0.898 239
20 28 158 0.937 236
20 29 162 0.95 237
20 30 168 0.928 237
20 31 140 0.932 229
20 32 130 0.951 224
20 33 171 0.909 234
20 34 165 0.921 236
20 35 153 0.921 231
20 36 164 0.915 234
20 37 113 0.912 233
20 38 105 0.953 231
20 39 160 0.948 238
20 40 150 0.936 235
20 41 145 0.882 232
20 42 146 0.888 237
20 43 147 0.942 238
20 44 135 0.923 233
20 45 180 0.916 236
20 46 161 0.921 235
20 47 178 0.927 235
20 48 218 0.894 234
21 1 237 0.855 234
21 2 185 0.87 231
21 3 179 0.89 235
21 4 155 0.878 241
21 5 84 0.971 232
21 6 62 0.892 227
21 7 176 0.926 245
21 8 194 0.933 243
21 9 175 0.912 243
21 10 159 0.91 243
21 11 134 0.815 240
21 12 165 0.86 244
21 13 161 0.912 240
21 14 159 0.919 238
21 15 163 0.9 239
21 16 168 0.855 240
21 17 142 0.91 241
21 18 148 0.877 241
21 19 95 0.851 240
21 20 75 0.967 231
21 21 114 0.972 236
21 22 132 0.938 237
21 23 147 0.885 240
21 24 141 0.938 238
21 25 173 0.956 242
21 26 163 0.956 238
21 27 159 0.933 236
21 28 163 0.932 235
21 29 146 0.911 234
21 30 149 0.94 232
21 31 139 0.95 227
21 32 145 0.905 231
21 33 166 0.917 236
21 34 163 0.9 235
21 35 152 0.924 232
21 36 131 0.947 232
21 37 128 0.963 230
21 38 135 0.934 230
21 39 103 0.935 229
21 40 98 0.961 227
21 41 147 0.942 231
21 42 140 0.932 230
21 43 118 0.964 227
21 44 129 0.907 224
21 45 131 0.906 230
21 46 151 0.942 234
21 47 175 0.912 233
21 48 205 0.866 234
22 1 241 0.843 238
22 2 206 0.909 235
22 3 182 0.926 240
22 4 178 0.959 242
22 5 61 0.849 227
22 6 59 0.835 225
22 7 163 0.919 242
22 8 168 0.855 241
22 9 161 0.965 244
22 10 154 0.89 243
22 11 151 0.895 239
22 12 143 0.937 245
22 13 163 0.932 236
22 14 161 0.944 239
22 15 161 0.889 234
22 16 145 0.873 237
22 17 147 0.908 242
22 18 138 0.954 239
22 19 68 0.926 233
22 20 92 0.964 234
22 21 122 0.929 235
22 22 150 0.936 235
22 23 173 0.889 241
22 24 145 0.905 241
22 25 153 0.921 239
22 26 167 0.955 239
22 27 161 0.847 237
22 28 163 0.91 238
22 29 142 0.982 233
22 30 140 0.942 232
22 31 144 0.933 228
22 32 141 0.88 230
22 33 159 0.943 235
22 34 152 0.959 232
22 35 144 0.923 232
22 36 142 0.92 232
22 37 161 0.912 233
22 38 139 0.961 230
22 39 108 0.938 227
22 40 101 0.877 227
22 41 150 0.936 234
22 42 139 0.925 236
22 43 111 0.964 226
22 44 145 0.965 231
22 45 136 0.905 232
22 46 113 0.764 228
22 47 177 0.931 230
22 48 229 0.928 232
23 1 247 0.906 237
23 2 149 0.751 232
23 3 189 0.93 242
23 4 179 0.89 242
23 5 162 0.936 240
23 6 157 0.921 241
23 7 169 0.967 242
23 8 171 0.922 243
23 9 153 0.921 243
23 10 147 0.928 238
23 11 153 0.866 242
23 12 152 0.939 240
23 13 142 0.945 237
23 14 133 0.92 238
23 15 149 0.93 238
23 16 134 0.882 237
23 17 132 0.938 238
23 18 147 0.928 241
23 19 143 0.916 241
23 20 146 0.921 240
23 21 161 0.921 240
23 22 128 0.842 234
23 23 118 0.888 235
23 24 132 0.913 237
23 25 0 0.0 0
23 26 0 0.0 0
23 27 144 0.974 236
23 28 153 0.931 235
23 29 144 0.933 233
23 30 132 0.913 230
23 31 146 0.972 227
23 32 144 0.958 229
23 33 160 0.925 234
23 34 150 0.926 233
23 35 162 0.96 235
23 36 155 0.943 229
23 37 153 0.931 230
23 38 154 0.937 234
23 39 156 0.974 234
23 40 150 0.912 235
23 41 141 0.949 230
23 42 153 0.931 235
23 43 134 0.942 229
23 44 116 0.873 222
23 45 155 0.909 236
23 46 152 0.949 234
23 47 162 0.917 228
23 48 229 0.901 232
24 1 253 0.928 237
24 2 201 0.924 238
24 3 175 0.861 235
24 4 154 0.851 236
24 5 154 0.937 241
24 6 163 0.9 242
24 7 141 0.913 239
24 8 147 0.928 243
24 9 142 0.877 243
24 10 151 0.953 245
24 11 127 0.845 239
24 12 152 0.924 240
24 13 149 0.874 233
24 14 151 0.909 237
24 15 146 0.936 240
24 16 142 0.945 235
24 17 146 0.961 239
24 18 133 0.92 228
24 19 138 0.875 235
24 20 152 0.949 240
24 21 153 0.955 240
24 22 177 0.909 241
24 23 123 0.976 235
24 24 146 0.897 237
24 25 0 0.0 0
24 26 0 0.0 0
24 27 162 0.895 236
24 28 142 0.945 233
24 29 146 0.911 232
24 30 136 0.941 230
24 31 141 0.913 231
24 32 140 0.897 226
24 33 153 0.907 235
24 34 146 0.901 233
24 35 157 0.931 235
24 36 151 0.932 232
24 37 153 0.921 232
24 38 153 0.907 232
24 39 145 0.915 227
24 40 148 0.924 233
24 41 150 0.912 232
24 42 154 0.913 235
24 43 125 0.963 230
24 44 120 0.914 227
24 45 147 0.918 232
24 46 179 0.861 232
24 47 182 0.948 230
24 48 209 0.857 227
25 1 213 0.889 235
25 2 189 0.861 238
